symbol,date,time,open,high,low,close,volume,adj_vol
NIFTY,20190227,09:15,10885.45,10886.7,10875.1,10885.55,,
NIFTY,20190227,09:16,10886.75,10892.2,10886.25,10886.9,,
NIFTY,20190227,09:17,10887.05,10890.9,10885.3,10890.2,,
NIFTY,20190227,09:18,10890.05,10896.0,10889.85,10890.55,,
NIFTY,20190227,09:19,10890.5,10894.6,10889.1,10892.2,,
NIFTY,20190227,09:20,10892.95,10901.5,10892.7,10899.6,,
NIFTY,20190227,09:21,10900.2,10903.45,10898.45,10899.7,,
NIFTY,20190227,09:22,10898.95,10900.6,10898.45,10899.75,,
NIFTY,20190227,09:23,10899.4,10904.7,10897.1,10897.1,,
NIFTY,20190227,09:24,10897.25,10901.75,10896.95,10900.9,,
NIFTY,20190227,09:25,10901.1,10903.8,10899.7,10900.5,,
NIFTY,20190227,09:26,10900.5,10903.7,10898.55,10902.85,,
NIFTY,20190227,09:27,10902.95,10906.0,10899.0,10905.5,,
NIFTY,20190227,09:28,10905.35,10908.75,10905.05,10908.15,,
NIFTY,20190227,09:29,10908.2,10908.55,10903.75,10905.6,,
NIFTY,20190227,09:30,10905.55,10909.8,10905.55,10909.3,,
NIFTY,20190227,09:31,10909.65,10910.55,10906.05,10906.25,,
NIFTY,20190227,09:32,10906.25,10908.2,10903.05,10903.45,,
NIFTY,20190227,09:33,10904.5,10905.15,10902.25,10904.4,,
NIFTY,20190227,09:34,10904.0,10908.2,10904.0,10904.6,,
NIFTY,20190227,09:35,10903.6,10905.85,10902.55,10905.1,,
NIFTY,20190227,09:36,10904.85,10906.7,10903.85,10904.45,,
NIFTY,20190227,09:37,10904.5,10906.45,10903.75,10904.5,,
NIFTY,20190227,09:38,10904.45,10908.0,10904.0,10907.95,,
NIFTY,20190227,09:39,10907.6,10911.75,10907.55,10908.3,,
NIFTY,20190227,09:40,10908.55,10912.2,10908.55,10911.9,,
NIFTY,20190227,09:41,10911.5,10912.9,10909.9,10909.9,,
NIFTY,20190227,09:42,10909.65,10913.65,10909.65,10911.7,,
NIFTY,20190227,09:43,10911.7,10911.7,10908.05,10909.4,,
NIFTY,20190227,09:44,10909.9,10910.75,10908.45,10910.65,,
NIFTY,20190227,09:45,10910.6,10911.1,10909.35,10910.85,,
NIFTY,20190227,09:46,10910.5,10910.85,10907.3,10908.2,,
NIFTY,20190227,09:47,10908.2,10909.7,10907.2,10908.75,,
NIFTY,20190227,09:48,10908.1,10914.1,10908.1,10912.85,,
NIFTY,20190227,09:49,10912.95,10913.25,10910.55,10911.45,,
NIFTY,20190227,09:50,10911.4,10912.0,10909.8,10910.6,,
NIFTY,20190227,09:51,10910.8,10911.65,10909.85,10911.45,,
NIFTY,20190227,09:52,10911.45,10912.8,10911.2,10911.8,,
NIFTY,20190227,09:53,10912.0,10912.85,10910.9,10911.2,,
NIFTY,20190227,09:54,10910.8,10913.45,10910.8,10912.05,,
NIFTY,20190227,09:55,10911.95,10916.85,10911.95,10916.1,,
NIFTY,20190227,09:56,10915.75,10918.75,10915.65,10917.5,,
NIFTY,20190227,09:57,10917.5,10919.35,10917.15,10919.0,,
NIFTY,20190227,09:58,10918.2,10919.9,10917.9,10919.7,,
NIFTY,20190227,09:59,10919.9,10919.9,10917.0,10917.55,,
NIFTY,20190227,10:00,10917.3,10921.6,10917.15,10921.55,,
NIFTY,20190227,10:01,10921.35,10921.35,10919.2,10919.8,,
NIFTY,20190227,10:02,10919.6,10920.1,10918.8,10919.2,,
NIFTY,20190227,10:03,10919.2,10920.35,10918.95,10918.95,,
NIFTY,20190227,10:04,10918.7,10919.65,10918.5,10919.45,,
NIFTY,20190227,10:05,10919.45,10920.2,10917.85,10918.8,,
NIFTY,20190227,10:06,10918.35,10918.7,10915.45,10915.7,,
