symbol,date,time,open,high,low,close,volume,adj_vol
NIFTY,20190227,09:17,10885.45,10892.2,10875.1,10890.2,0.0,
NIFTY,20190227,09:20,10890.05,10901.5,10889.1,10899.6,0.0,
NIFTY,20190227,09:23,10900.2,10904.7,10897.1,10897.1,0.0,
NIFTY,20190227,09:26,10897.25,10903.8,10896.95,10902.85,0.0,
NIFTY,20190227,09:29,10902.95,10908.75,10899.0,10905.6,0.0,
NIFTY,20190227,09:32,10905.55,10910.55,10903.05,10903.45,0.0,
NIFTY,20190227,09:35,10904.5,10908.2,10902.25,10905.1,0.0,
NIFTY,20190227,09:38,10904.85,10908.0,10903.75,10907.95,0.0,
NIFTY,20190227,09:41,10907.6,10912.9,10907.55,10909.9,0.0,
NIFTY,20190227,09:44,10909.65,10913.65,10908.05,10910.65,0.0,
NIFTY,20190227,09:47,10910.6,10911.1,10907.2,10908.75,0.0,
NIFTY,20190227,09:50,10908.1,10914.1,10908.1,10910.6,0.0,
NIFTY,20190227,09:53,10910.8,10912.85,10909.85,10911.2,0.0,
NIFTY,20190227,09:56,10910.8,10918.75,10910.8,10917.5,0.0,
NIFTY,20190227,09:59,10917.5,10919.9,10917.0,10917.55,0.0,
NIFTY,20190227,10:02,10917.3,10921.6,10917.15,10919.2,0.0,
NIFTY,20190227,10:05,10919.2,10920.35,10917.85,10918.8,0.0,
NIFTY,20190227,10:08,10918.35,10918.7,10911.2,10915.25,0.0,
NIFTY,20190227,10:11,10915.25,10918.8,10914.3,10917.0,0.0,
NIFTY,20190227,10:14,10917.65,10919.15,10914.9,10915.1,0.0,
NIFTY,20190227,10:17,10914.85,10916.7,10913.1,10915.8,0.0,
NIFTY,20190227,10:20,10915.8,10916.3,10913.35,10913.95,0.0,
NIFTY,20190227,10:23,10913.95,10914.35,10911.5,10912.15,0.0,
NIFTY,20190227,10:26,10912.3,10912.8,10909.45,10910.7,0.0,
NIFTY,20190227,10:29,10910.45,10915.35,10910.45,10914.35,0.0,
NIFTY,20190227,10:32,10914.85,10917.25,10913.65,10916.2,0.0,
NIFTY,20190227,10:35,10916.35,10924.55,10916.35,10923.6,0.0,
NIFTY,20190227,10:38,10923.6,10925.8,10922.35,10925.25,0.0,
NIFTY,20190227,10:41,10925.6,10931.4,10924.5,10931.3,0.0,
NIFTY,20190227,10:44,10931.55,10932.5,10929.6,10929.75,0.0,
NIFTY,20190227,10:47,10929.75,10936.3,10929.75,10931.6,0.0,
NIFTY,20190227,10:50,10931.5,10934.8,10931.2,10934.25,0.0,
NIFTY,20190227,10:53,10933.4,10934.9,10932.25,10933.45,0.0,
NIFTY,20190227,10:56,10933.55,10935.8,10932.3,10935.45,0.0,
NIFTY,20190227,10:59,10935.7,10938.6,10935.35,10937.1,0.0,
NIFTY,20190227,11:02,10937.75,10939.7,10936.25,10936.6,0.0,
NIFTY,20190227,11:05,10936.6,10937.65,10931.1,10931.5,0.0,
NIFTY,20190227,11:08,10931.25,10931.45,10924.05,10925.95,0.0,
NIFTY,20190227,11:11,10926.6,10927.6,10921.95,10923.15,0.0,
NIFTY,20190227,11:14,10923.15,10927.6,10922.15,10926.15,0.0,
NIFTY,20190227,11:17,10926.15,10926.55,10908.1,10908.7,0.0,
NIFTY,20190227,11:20,10908.75,10908.75,10878.75,10882.25,0.0,
NIFTY,20190227,11:23,10882.2,10897.95,10881.25,10888.2,0.0,
